LSOA11CD,cyclingmean,cyclingmedian,cyclingmax,walkingmean,walkingmedian,walkingmax,multi_d,health,car
E01028585,239.429078739096,244.57031,349.40277,797.826336766501,814.43697,1166.5612,7.028,-1.416,0.78
E01028586,133.371656675159,129.74189,191.03201,444.634852275627,431.70769,636.96979,15.876,-0.091,0.7
E01028587,74.6588491158749,74.873314,140.3033,249.089273148169,249.94508,469.73469,21.486,0.388,0.67
E01028588,92.8227423763623,88.91876,174.12811,309.854467816679,297.49316,584.68943,12.607,-0.445,0.67
E01028591,123.246514162497,114.21764,374.23559,410.846217135539,381.53605,1240.9734,4.612,-1.266,0.8
E01028592,200.049504482617,215.03133,454.45707,666.224199259432,715.28392,1508.9758,8.659,-0.861,0.77
E01028594,285.020895610628,310.01529,509.35288,949.895529182012,1032.8556,1695.0528,5.566,-1.543,0.88
E01028595,380.834197428035,389.25368,443.37697,1271.378685575,1299.02705,1481.3627,7.851,-0.833,0.82
E01028596,269.947192793147,278.24018,402.17753,898.858562588402,926.50589,1330.7463,4.923,-0.937,0.83
E01028597,475.594002722094,468.25243,584.95507,1585.15606143825,1561.0703,1948.088,14.56,-0.156,0.79
E01028709,283.430452778773,294.037375,483.37971,943.846509658539,978.720085,1609.1234,3.075,-1.862,0.91
E01028710,614.121219976511,607.98654,909.03469,1884.24538444086,1959.98085,2292.5589,4.875,-1.66,0.92
E01028740,222.62489075795,228.31598,357.27947,742.141126761257,760.539955,1188.6771,3.011,-1.329,0.84
E01028741,390.788982800653,396.25713,596.29248,1302.71869779667,1320.3808,1984.8227,8.749,-1.661,0.86
E01028742,150.68447481441,146.41142,327.44046,502.344431050007,487.24979,1091.7184,9.136,-0.862,0.78
E01032554,185.422277094235,186.668295,315.28826,618.327490084767,622.42475,1053.0049,4.298,-1.476,0.8
E01032555,308.970423228162,302.36322,517.69419,1030.34180313542,1008.0799,1726.1506,22.396,-0.159,0.74
E01033282,221.099903142848,235.12227,368.68515,737.368478192621,783.331325,1227.5476,7.119,-1.234,0.72
